YYYYMM,issue_amt,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,tenor_share_long,tenor_share_main,tenor_share_mid,tenor_share_short,tenor_share_ultra,tenor_share_xlong
202011,11686300000000,0.0,0.0914575186329291,0.0020536867956496,0.0305058059437118,0.8759829886277094,0.1675380573834319,0.4470619443279738,0.0724694728014855,0.2297562102632997,0.0284093340064862,0.0547649812173228
202012,12967800000000,0.0,0.066148460031771,0.0003855704128687,0.0154151051064945,0.9180508644488656,0.3050478878452783,0.3018245191936951,0.0994771665201499,0.1688027267539598,0.016348185505637,0.1084995141812797
202101,14049650000000,0.0,0.0921446441726306,0.0009252899538422,0.0318264156046591,0.8751036502688679,0.1612033039968967,0.5398212766866078,0.1007498407433637,0.1683315954489969,0.0227763680945788,0.0071176150295558
202102,11481050000000,0.0,0.0973778530709299,0.0013065007120428,0.0382412758414953,0.8630743703755318,0.1955875115951938,0.4635464526328167,0.080262693743168,0.1728064941795393,0.0211653115350947,0.0666315363141872
202103,11824300000000,0.0,0.1090212528437201,0.0031545207750141,0.0381587070693402,0.8496655193119255,0.2821646947388006,0.3608331994282959,0.1340629043579747,0.1654727975440406,0.0168720347081856,0.0405943692227024
202104,15389200000000,0.0,0.0756179658461778,0.0045486445039378,0.0262911652327606,0.8935422244171237,0.1526849998700387,0.4712330725443818,0.0583915993034075,0.1593974995451355,0.0309307826267772,0.1273620461102591
202105,14051100000000,0.0,0.0716669869262904,0.0015657137163638,0.0150664360797375,0.911700863277608,0.2099550924838624,0.4330621801851812,0.0862210076079452,0.2274199173018482,0.0070457117236372,0.0362960906975254
202106,14217800000000,0.0,0.1365752788757754,0.0029540435229079,0.0245326281140542,0.8359380494872625,0.1237673901728818,0.270913924798492,0.1182602090337464,0.2887155537424918,0.0611909015459494,0.1371520207064384
202107,15596400000000,0.0,0.1373393860121566,0.0022441076145777,0.0286027544818034,0.8318137518914621,0.1368264471288246,0.4761932240773512,0.0698622759098253,0.2017068041342874,0.0211587289374471,0.0942525198122643
202108,13567800000000,0.0,0.0895355179174221,0.0011055587493919,0.029628974483704,0.8797299488494819,0.1006058461946667,0.4171273161455799,0.107570866315836,0.2689308509854213,0.0423797520600244,0.0633853682984713
202109,15065800000000,0.0,0.0739754941655936,0.0023895179811228,0.0271674919353768,0.8964674959179068,0.1866213543256913,0.3174408262422175,0.0752167160057879,0.2312854279228451,0.0367720267095009,0.1526636487939571
202110,18681400000000,0.0,0.1036539017418394,0.0005352917875533,0.0167599858682968,0.8790508206023103,0.1446197822433008,0.3965762737268085,0.0933709465029387,0.1817262089565021,0.0129487083409166,0.1707580802295331
202111,17207700000000,0.0,0.1176973099252079,0.0008717027842186,0.0095538625150368,0.8718771247755366,0.2322855465867024,0.3874195854181558,0.0684577253206413,0.1717254484910824,0.0116808173085304,0.1284308768748874
202112,17558500000000,0.0,0.1370846028988809,0.002335051399607,0.0287268274624825,0.8318535182390295,0.378602955833357,0.307600307543355,0.097719053449896,0.1423242304297064,0.0196486032405957,0.0541048495030896
202201,15971800000000,0.0,0.1351882693246847,0.0009391552611477,0.0167607908939505,0.8471117845202168,0.0886437345822011,0.466109017142714,0.1013912019935135,0.2513805582338872,0.0730662793172967,0.0194092087303873
202202,16875600000000,0.0,0.1535708359999051,0.0005925715233828,0.0161772025883524,0.8296593898883595,0.0601460096233615,0.4757519732631728,0.1499205954158667,0.1566166536300931,0.0218658892128279,0.1356988788546777
202203,18636900000000,0.0,0.146107990062725,0.002199936684749,0.0118420982030273,0.8398499750494985,0.1658108376393069,0.3347659750280358,0.184617613444296,0.1911262066116145,0.0072436939619786,0.116435673314768
202204,21514000000000,0.0,0.1140141303337361,0.0010225899414334,0.013651575718137,0.8713117040066933,0.1316212698707818,0.3735428093334573,0.0985823184902854,0.2142790740912894,0.0434600725109231,0.1385144557032629
202205,20345139463986,0.0,0.0970698678913395,0.0013270983002006,0.0200067178063105,0.8815963160021493,0.0892566731823337,0.4077239192527419,0.099827283248423,0.2232965769559753,0.0668464328989932,0.1130491144615327
202206,19771800000000,0.0,0.0977503312799037,0.002630008395796,0.0101204746153612,0.889499185708939,0.1615684965455851,0.2798076047704306,0.2210168017074823,0.183852759991503,0.0288289381846872,0.1249253988003115
202207,22512000000000,0.0,0.1358475479744136,0.0011105188343994,0.0048640724946695,0.8581778606965174,0.2078491471215351,0.3639214641080313,0.2035047974413646,0.169909381663113,0.0197228144989339,0.035092395167022
202208,21829300000000,0.0,0.1308195865190363,0.0010078197651779,0.0134498128661936,0.8547227808495921,0.2038040615136536,0.3982674662036803,0.1410947671249192,0.1862405116059608,0.0449395995290733,0.0256535940227125
202209,16418900000000,0.0,0.1243688675855264,0.0006699596197065,0.0124186151325606,0.8625425576622063,0.120878987021055,0.3263982361790375,0.0991905669685545,0.2976143346996449,0.0401975771823934,0.1157202979493145
202210,17319503000000,0.0,0.0902508576602919,0.0008660756604851,0.0051213940723356,0.9037616726068872,0.054216336346372,0.5711539759541598,0.0991310200991333,0.2079447660824909,0.0317561075511231,0.0357977939667206
202211,22272160000000,0.0,0.0744651618882048,0.0004489910273633,0.0057767185580563,0.9193091285263756,0.078228604679564,0.5248794908082557,0.2229527805116342,0.1582244380428301,0.0067348654104496,0.0089798205472661
202212,22523500000000,0.0,0.0628721113503674,0.0013319421937087,0.002632805736231,0.9331631407196928,0.324314604746154,0.3095167269740493,0.2092658778609008,0.1495771083534974,0.0002219903656181,0.0071036916997802
202301,23142700000000,0.0,0.088930850765036,0.0002160508497279,0.0104438980758511,0.9004092003093849,0.2264645006848812,0.4364659266204894,0.1424941774295998,0.1663591542905538,0.0169815967886201,0.0112346441858555
202302,17824100000000,0.0,0.1187717752930021,0.0008415572174752,0.0191650630326355,0.861221604456887,0.1846432638955122,0.4899938846842196,0.0794037286595115,0.2151020247866652,0.0168311443495043,0.0140259536245869
202303,19627730000000,0.0,0.1173238066755554,0.0007132765735008,0.0074858376388915,0.8744770791120522,0.202088066220597,0.4096245464962071,0.1500530117339091,0.2249878106128421,0.0030568996007179,0.0101896653357265
202304,20054800000000,0.0,0.1027285238446656,0.0002493168717713,0.007265093643417,0.889757065640146,0.1609589724155813,0.5351137882202764,0.0992630193270439,0.1874613558848754,0.0097233579990825,0.0074795061531403
202305,15216900000000,0.0,0.1200573047072662,0.0009857461112315,0.0063416333155899,0.8726153158659122,0.1318665431198207,0.5392622676103542,0.0683384920713154,0.2409163495850008,0.0196163476135086,0.0
202306,20704150000000,0.0,0.094367554330895,0.0012316371355501,0.0050497122557554,0.8993510962777994,0.3009783062815909,0.404247457635305,0.1046650067740042,0.1703064361492744,0.0198027931598254,0.0
202307,20544900000000,0.0,0.0995526870415528,0.0034558454896348,0.0147335835170772,0.882257883951735,0.2015682724179723,0.536064911486549,0.0945392773875755,0.1461676620475154,0.0167924886468174,0.0048673880135702
202308,18242900000000,0.0,0.0943161449111709,0.000274079230824,0.0130078002949092,0.8924019755630958,0.1726150995729845,0.488546228943863,0.1378289635967965,0.1881279840376256,0.0128817238487301,0.0
202309,16219700000000,0.0,0.0830656547285091,0.0006781876360228,0.0134404458775439,0.902815711757924,0.1545897889603383,0.4621540472388515,0.1786901114077325,0.1919887544159263,0.0125772979771512,0.0
