분기,event_flag,overheat_flag,q_val,S1_Delta,S1_Accel,S2_Delta,S3_Delta,3M_ratio,S4_Accel,Issuance_QoQ,Success_Rate,y_regime
2017/Q2,0,0,2017.5,13.03007417806451,24.782195181681303,-7.13916766007285,474490.7000000011,53.59164218961925,-0.0567124382886364,-5.718676087316766,117.34017225125032,0
2017/Q3,0,0,2017.75,-14.273814982794534,-27.303889160859043,2.5210391119615068,206897.09999999963,56.11268130158076,0.1658264873164509,10.863972644328324,103.0663572684558,2
2017/Q4,0,0,2018.0,11.248255004068724,25.52206998686325,-18.416350694993618,101990.59999999964,37.69633060658714,-0.1716964270284494,-6.305670058516622,114.31461227252451,0
2018/Q1,0,0,2018.25,0.9216696427011613,-10.326585361367565,26.957637972674743,360316.00000000186,64.65396857926189,0.2951547823302091,23.20980817450429,115.23628191522567,1
2018/Q2,0,0,2018.5,-20.757311145669178,-21.67898078837034,-16.110163017886208,269751.5,48.54380556137568,-0.2296260173215458,0.24720644234970113,94.4789707695565,2
2018/Q3,0,0,2018.75,-5.734539079109908,15.02277206655927,6.30247605159645,165208.8999999985,54.84628161297213,0.0445619235953838,4.703398801888081,88.74443169044659,0
2018/Q4,0,0,2019.0,14.691507931906145,20.426047011016053,-9.003114509686071,-126129.0,45.843167103286056,-0.114394921532224,-6.736093351334327,103.43593962235272,0
2019/Q1,0,0,2019.25,-18.98862457643933,-33.68013250834548,-44.77269813082922,616300.8000000007,1.0704689724568337,0.1583610419227225,9.100010840937923,84.4473150459134,2
2019/Q2,0,0,2019.5,29.62755676151013,48.61618133794947,48.68537241166706,369899.8999999985,49.7558413841239,-0.1357561624883934,-4.475605407901417,114.07487180742352,1
2019/Q3,0,1,2019.75,9.965942721743644,-19.66161403976649,4.4614658399422495,252184.8000000008,54.21730722406615,0.0174470579584458,-2.7308996120568363,124.04081452916718,2
2019/Q4,0,1,2020.0,25.47828522557372,15.51234250383007,-4.975165595048516,197566.6000000015,49.24214162901763,-0.1878165362360176,-21.512553235658604,149.5190997547409,0
2020/Q1,1,0,2020.25,-53.403204635234616,-78.88148986080833,12.806120202918647,302466.299999997,62.04826183193628,0.5423941792635959,32.726864690700985,96.11589511950628,2
