YYYYMM,date,cp_balance_amt,abcp_balance_amt,ab_balance_amt,cp_balance_share,abcp_balance_share,ab_balance_share,cp_share_baseline,abcp_share_baseline,ab_share_baseline,cp_share_z,abcp_share_z,ab_share_z,balance_core,credit_core,tenor_core,precursor_avg,precursor_max,MSI_precursor_v562_raw,trend_avg,trend_max,MSI_trend_v562_raw,MSI_total_v562_raw,hidden_risk_boost_v562,MSI_precursor_v562,MSI_trend_v562,MSI_total_v562,MSI_precursor_v562_상태,MSI_trend_v562_상태,MSI_v562_상태,anchor_month_v562,anchor_raw_v562,target_anchor_v562,scale_factor_v562,total_balance_amt,cp_issue_share_top,cp_issue_share_high,ab_issue_share_top,ab_issue_share_high,abcp_short_pressure,ab_short_pressure,cp_short_pressure,cp_share_risk,abcp_share_risk,ab_share_risk,cp_credit_top_z,cp_credit_top_risk,cp_credit_high_z,cp_credit_high_risk,cp_credit_core,ab_credit_top_z,ab_credit_top_risk,ab_credit_high_z,ab_credit_high_risk,ab_credit_core,abcp_tenor_z,abcp_tenor_risk,ab_tenor_z,ab_tenor_risk,cp_tenor_z,cp_tenor_risk
201908,2019-08-01,51922100000000.0,122900600000000.0,32543800000000.0,0.2503880810063342,0.5926733585222299,0.15693856047143584,0.2890708726777962,0.5499673625268566,0.160961764795347,-1.5621664071252583,-1.7341368082238307,0.3873808747501553,0.0,0.26484143167026586,0.47481011163911785,0.1981549574108592,0.11870252790977946,0.1862370929856972,0.19541131982578852,0.14244303349173534,0.1848176625589779,0.1862370929856972,0.0,0.38755154463063785,0.38459776971098186,0.38755154463063785,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,207366500000000.0,0.8545277019230267,0.1194699275797432,0.8032482795428189,0.1435916272401052,0.15774411221309798,0.4164217130081074,0.49479159896741853,0.0,0.0,0.0,0.8735783235432526,0.4188626588346021,0.5562851249740499,0.16502809997923995,0.30463710734968913,0.8069951161707797,0.36559609293662376,0.3613057417666331,0.0090445934133065,0.205147918151131,1.2990894225230518,0.7592715380184415,0.14564972071938934,0.0,1.3700186454223389,0.6344956175326475
201909,2019-09-01,50787600000000.0,123280200000000.0,32323800000000.0,0.2460739681266098,0.5973120999110428,0.1566139319623473,0.2817889474897466,0.5596243902482225,0.15858666226203078,-1.4423142328019956,-1.4380441832231468,0.19452813437201533,0.0,0.44835942724884253,0.1081833002043778,0.16155365322574722,0.13450782817465276,0.15749677946808305,0.12212687551108184,0.08967188544976851,0.11563587749881918,0.15749677946808305,0.0,0.32774416298419223,0.24063338951939248,0.32774416298419223,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,206391600000000.0,0.8781549839023302,0.1033757291766281,0.8118710038991138,0.1273326489146234,0.1225587015557126,0.44498578990389726,0.5022959589848103,0.0,0.0,0.0,1.3026304919822722,0.7621043935858178,0.7971989851274125,0.35775918810193,0.5801490511180684,0.7753231369595828,0.34025850956766623,0.5264800310632979,0.14118402485063833,0.2506749914450037,-0.09360152954623208,0.0,0.3683441909551512,0.014675352764120974,1.4461202917903762,0.6869795115795698
201910,2019-10-01,50508200000000.0,127314500000000.0,32476300000000.0,0.24017327709594435,0.6053975530078602,0.15442916989619543,0.2738481431028633,0.567825435546667,0.15832642135046954,-1.2568879107938384,-1.4336335492349606,0.39333316506296107,0.0,0.35162604199872594,0.30709761568999683,0.182262216522117,0.10548781259961777,0.17074605593374212,0.16245449310674426,0.09212928470699905,0.14838945142679522,0.17074605593374212,0.0,0.3553153491382785,0.3087921970075214,0.3553153491382785,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,210299000000000.0,0.883132507820164,0.0997464230847539,0.8016796191704283,0.1167116512892854,0.1237850445484171,0.5013992860410946,0.4852599749970747,0.0,0.0,0.0,1.138674113517635,0.630939290814108,0.7030691434606414,0.28245531476851315,0.47412150159359034,0.5265948933126671,0.14127591465013367,0.6005030543023774,0.20040244344190192,0.16788285260642938,0.04826808479768681,0.0,1.1936024945497818,0.6748819956398255,1.1352595330885598,0.4725927814403861
201911,2019-11-01,52071300000000.0,136063800000000.0,33287200000000.0,0.23516737022422765,0.6144990816191503,0.15033354815662198,0.26582602830830193,0.5767762181028852,0.1573977535888126,-1.14431032031775,-1.4393855434415461,0.7589175881123099,0.03195699187368723,0.03822340044741784,0.18371146146614853,0.07177553184392174,0.04592786536653713,0.06789838187231405,0.07873661446617174,0.05511343843984456,0.0740119792609063,0.06973246108889172,0.0,0.14129367222542022,0.15401581083494376,0.14511031380827727,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,221422300000000.0,0.8577594685580365,0.1247674660402066,0.8071496285404736,0.1478060671722643,0.1388345243045851,0.3629928078774144,0.42912565759554433,0.0,0.0,0.2130466124912482,0.2924072592402589,0.0,-0.14722074955509493,0.0,0.0,0.5671784116330558,0.1737427293064447,0.12126083237489312,0.0,0.09555850111854458,0.8092786536653713,0.36742292293229706,-0.5622891753830135,0.0,0.10953024706102754,0.0
201912,2019-12-01,51567000000000.0,131081800000000.0,36009600000000.0,0.23583361078284668,0.5994821145677458,0.16468427464940746,0.25742985420377434,0.5859086125902659,0.1566615332059595,-0.754000922177849,-0.5179220424726149,-0.8618944684939763,0.0,0.22067850160464253,0.0,0.06620355048139276,0.06620355048139276,0.06620355048139276,0.044135700320928506,0.044135700320928506,0.044135700320928506,0.06620355048139276,0.0,0.13776679950146462,0.09184453300097642,0.13776679950146462,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,218658400000000.0,0.8791422622638205,0.1047200223125968,0.8124476607746106,0.1297846700294975,0.0813050000186845,0.412861871807519,0.4252915286537501,0.0,0.0,0.0,0.9163002491692704,0.4530401993354164,0.5420025076755154,0.15360200614041233,0.3182930123976646,0.5187653077616122,0.1350122462092898,0.27135570645471047,0.0,0.0742567354151094,-1.947168499102385,0.0,-0.021384498222620913,0.0,-0.018413518722937193,0.0
202001,2020-01-01,57180200000000.0,129828100000000.0,36396500000000.0,0.25594884263901224,0.5811338879021399,0.1629172694588478,0.24894574213125042,0.5929374268256713,0.15811683104307792,0.23053696067175744,0.4503858324714672,-0.5130897414803756,0.03212346639086951,0.0,0.0,0.014455559875891278,0.014455559875891278,0.014455559875891276,0.016061733195434753,0.016061733195434753,0.016061733195434753,0.01493741187175432,0.0,0.03008141111197748,0.03342379012441943,0.031084124815710067,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,223404800000000.0,0.8298708525586033,0.1443576248000185,0.7596356194557731,0.1595354989324997,0.1019843167868199,0.43127504462855476,0.362891362514913,0.0,0.08030866597717376,0.0,-0.47755979672040005,0.0,-0.7801376469212853,0.0,0.0,-0.20497250562252944,0.0,-0.12375243812412891,0.0,0.0,-0.8831523879523153,0.0,0.2100802255286643,0.0,-1.270355268923389,0.0
202002,2020-02-01,58400700000000.0,128864100000000.0,37100500000000.0,0.26029292408407184,0.5743495094829726,0.16535756643295554,0.24589069978696243,0.5959493452238157,0.15815995498922167,0.5028323764358764,0.8241816343734386,-0.8848509519193054,0.20675777851641589,0.03643510100668009,0.0,0.10397153063439117,0.09304100033238714,0.10233195108909057,0.11066590945954397,0.10337888925820794,0.10920850541927676,0.10439491738814644,0.0,0.21294847913401274,0.22725829899683048,0.21724142509285807,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,224365300000000.0,0.8393928853754941,0.129195256916996,0.8191559017123712,0.1340714555183573,0.11262304840851821,0.4331502993683593,0.4114790844514601,0.12226590114870114,0.3793453074987509,0.0,-0.21889047408881654,0.0,-0.2506113554828998,0.0,0.0,0.5570176193561368,0.16561409548490946,0.20499531358047535,0.0,0.09108775251670022,-0.39502968035765795,0.0,0.27038300587605746,0.0,-0.22370584320416814,0.0
202003,2020-03-01,63486700000000.0,124330000000000.0,35474700000000.0,0.28432219064415376,0.5568060391040587,0.1588717702517876,0.24452104248776846,0.5972024500115369,0.15827650750069422,1.500892920969608,1.3608824656067084,-0.07317966745837932,0.7378038405432056,0.7025318631799505,0.2202791261838365,0.5978410687443868,0.3320117282444425,0.5579666676693952,0.5754920307627439,0.3689019202716028,0.5341740086645157,0.5979666676693952,0.04,1.1611051291715069,1.1115936081292446,1.2443434440351095,위험,위험,초위험,202210,0.4805479311485996,1.0,2.080957871590067,223291400000000.0,0.9129465968191754,0.0713141629607296,0.7534398746515746,0.1669724580098617,0.10904251847647839,0.4842033702508015,0.2649902104747919,0.9207143367756864,0.8087059724853667,0.0,1.968882148291701,1.2951057186333608,1.6238285927358398,1.019062874188672,1.170886438633251,-0.30738735965260744,0.0,-0.2775766892629237,0.0,0.0,-0.5828649405640974,0.0,1.1367111649422732,0.6293689319538186,-2.795426041900383,0.0
202004,2020-04-01,65211500000000.0,118898700000000.0,32770700000000.0,0.3006788518491024,0.5482211665480916,0.15109998160280597,0.2470892914024615,0.593742192347549,0.1591685162499894,1.8710003035396965,1.5335215291476323,1.0784480740303652,0.9912988683288121,0.3176889615027718,0.0,0.541391179198797,0.44608449074796547,0.5270951759311722,0.5591872264649604,0.49564943416440604,0.5464796680048496,0.5329105235532754,0.0,1.096862855431124,1.1372011667986182,1.1089643488413723,위험,위험,위험,202210,0.4805479311485996,1.0,2.080957871590067,216880900000000.0,0.894173165315292,0.0939936993234519,0.7772290432165782,0.1794197774466479,0.1236625128113776,0.4240249066590849,0.2001431113173976,1.216800242831757,0.9468172233181058,0.4334124648485278,1.16301812735472,0.650414501883776,0.8270934068570636,0.38167472548565085,0.5294816025046197,0.0030954163410623183,0.0,-0.4456876570288375,0.0,0.0,0.05862366987080004,0.0,0.0032377431335703145,0.0,-3.433924112122534,0.0
202005,2020-05-01,65711700000000.0,117202700000000.0,34421400000000.0,0.30235101626147187,0.5392701064435772,0.15837887729495095,0.25327164881698655,0.5885748107679539,0.15815354041505905,1.6156569779062304,1.4115699644899624,-0.027702183458161108,0.7953389006830309,0.10155312943972697,0.5209550360650541,0.5186072031555455,0.35790250530736395,0.4945014984783183,0.5742665870489772,0.39766945034151546,0.5389471597074849,0.5078351968470682,0.0,1.0290367857715401,1.1215263343643995,1.0567836503493977,위험,위험,위험,202210,0.4805479311485996,1.0,2.080957871590067,217335800000000.0,0.8589588858363374,0.1228343205602578,0.843402331929386,0.1254139297508159,0.15865204656414209,0.4122655920925623,0.1632823167052994,1.0125255823249844,0.8492559715919701,0.0,0.12269810866578407,0.0,-0.10327084028687156,0.0,0.0,0.9270064172711758,0.4616051338169407,0.26849730507915154,0.0,0.2538828235993174,1.652387590162635,1.0419100721301082,-0.28216898815839186,0.0,-4.0139183899821385,0.0
202006,2020-06-01,63580600000000.0,113122500000000.0,36235600000000.0,0.2985864006871461,0.5312444379532701,0.17016916135958376,0.2587259763621483,0.5822565594805751,0.1590174641572766,1.1703246657732376,1.2679684837094682,-1.4905465361292327,0.5890667944653953,0.017420811931501815,0.15475987603023922,0.30899627009643826,0.2650800575094279,0.3024088382083867,0.34444552242806975,0.29453339723269767,0.3344630973889954,0.3120251159625693,0.0,0.6293000523081493,0.6960036152680251,0.6493111211961121,주의,주의,주의,202210,0.4805479311485996,1.0,2.080957871590067,212938700000000.0,0.8397775790928173,0.1065153261009882,0.8068673638580002,0.1305942447963924,0.1380621515254897,0.4492223959980361,0.2426251116321939,0.65625973261859,0.7343747869675746,0.0,-0.3895679236856345,0.0,0.43065190709028617,0.06452152567222895,0.029034686552503026,0.3340390532903634,0.0,0.17803256574325427,0.0,0.0,0.7049339213636356,0.2839471370909085,0.39566538387423195,0.036532307099385576,-2.7210309685150214,0.0
202007,2020-07-01,64120900000000.0,112094100000000.0,35751400000000.0,0.30250501966349386,0.5288295692147434,0.1686654111217627,0.2642665073153292,0.5745643787131832,0.16116911397148762,1.0093865445637067,1.0547544890309442,-0.9215704016733993,0.46290059253283655,0.05991715231884044,0.5693295279502945,0.3686127943230022,0.20830526663977644,0.3445666651705183,0.4142325851152747,0.23145029626641828,0.3776761273455035,0.3544995038230139,0.0,0.7170287141741291,0.785928110111278,0.7376985329552738,주의,경고,주의,202210,0.4805479311485996,1.0,2.080957871590067,211966400000000.0,0.8580405112125857,0.1060582504328226,0.8276323900229291,0.1260781468664256,0.1608908450122566,0.4415797766931033,0.2176051169204259,0.5275092356509654,0.5638035912247553,0.0,0.045153442180617044,0.0,0.45529894839564056,0.08423915871651247,0.037907621422430614,0.561207837871489,0.1689662702971912,0.23324708942165936,0.0,0.09293144866345517,1.773323819875736,1.138659055900589,0.17180450843907955,0.0,-2.519908443269809,0.0
202008,2020-08-01,63432300000000.0,112690200000000.0,35701000000000.0,0.299458275403815,0.5320004626493283,0.1685412619468567,0.27102318265956565,0.5658617384895709,0.1631150788508631,0.6730526682077133,0.7292901094570963,-0.5799717944099555,0.2376717955810476,0.07455404251131616,0.7495137864432807,0.3166969673756864,0.18737844661082018,0.29729918926095644,0.35860084222577127,0.2248541359329842,0.3318515009672139,0.30766488277283366,0.0,0.6186670881099324,0.6905689931367025,0.6402376596179634,주의,주의,주의,202210,0.4805479311485996,1.0,2.080957871590067,211823500000000.0,0.8399964526427811,0.1293455125931181,0.8460985873851696,0.1249769449333829,0.1722550107135416,0.4528885054096166,0.2649012487822159,0.2584421345661706,0.303432087565677,0.0,-0.42616651657404386,0.0,-0.32145934014327027,0.0,0.0,0.7736025142688417,0.3388820114150734,0.2521915639234847,0.0,0.18638510627829039,2.1590703696814812,1.4472562957451849,0.4424487091810296,0.07395896734482368,-1.6463397311639416,0.0
202009,2020-09-01,62132700000000.0,120013100000000.0,34236900000000.0,0.28714264125551625,0.5546335266174237,0.15822383212706007,0.27713680045131567,0.5583036982926858,0.16455950125599844,0.23005132502312553,0.0741665210687949,0.7542106026603351,0.03147006234417259,0.0,0.27512336400079873,0.08294236905507735,0.06878084100019968,0.0808181398468457,0.09827204037232591,0.08253700920023961,0.09512503413790865,0.08511020813416457,0.0,0.16817914428156042,0.19795118857455485,0.1771107575694587,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,216382700000000.0,0.8247159348401077,0.140907854947554,0.8011636587999816,0.1427676385106047,0.14768805565915058,0.4464985668460148,0.2576720403146913,0.0,0.0,0.20980041562781732,-0.7898960385784188,0.0,-0.6958979507975838,0.0,0.0,0.016392624918306373,0.0,-0.13965638910678993,0.0,0.0,1.0378084100019969,0.5502467280015975,0.23766610624436943,0.0,-1.700432885926207,0.0
202010,2020-10-01,62443100000000.0,126979900000000.0,34910300000000.0,0.2783496698885096,0.5660323277908362,0.15561800232065415,0.28048126011503505,0.5557928498614679,0.16372589002349697,-0.049008890468520416,-0.2069185102976764,0.965179012068779,0.0532943805588392,0.20132510068409296,1.380984612671484,0.42962615462457654,0.345246153167871,0.41696915440607074,0.4812075942176834,0.4142953838014452,0.46782515213443576,0.43222595372458017,0.0,0.867695244071567,0.9735244328619748,0.8994440007086891,경고,경고,경고,202210,0.4805479311485996,1.0,2.080957871590067,224333300000000.0,0.885046848820904,0.0892218440119652,0.8132134320471095,0.1444115526341808,0.1694806207061019,0.5600683867488644,0.20576829994269522,0.0,0.0,0.35529587039226135,0.6126392759755918,0.21011142078047343,0.9610570917895219,0.48884567343161756,0.3355418344734883,0.1771835525814372,0.0,-0.17684310899043115,0.0,0.0,1.9649615316787095,1.2919692253429678,3.728949878242039,2.1,-2.220337921286043,0.0
202011,2020-11-01,60088800000000.0,129956500000000.0,34361000000000.0,0.26776788352198666,0.5791125293719472,0.1531195871060661,0.28141849964276106,0.5563019096738996,0.1622795906833393,-0.3138509184203521,-0.4912856625621523,1.0904249697685313,0.0662508589415722,0.11417810910572507,0.0,0.06406631925542501,0.03425343273171752,0.05959438627686888,0.055961051291931116,0.0331254294707861,0.051393926927702116,0.05959438627686888,0.0,0.12401340722542936,0.10694859679212643,0.12401340722542936,정상,정상,정상,202210,0.4805479311485996,1.0,2.080957871590067,224406300000000.0,0.8777856854994298,0.0916457302590398,0.8114997118678657,0.1498686204947554,0.1125326650574745,0.3202766898868118,0.2581655442697859,0.0,0.0,0.4416723929438147,0.4352383133846801,0.0681906507077441,0.7744221961674514,0.33953775693396115,0.1902968485095418,0.13804963201649878,0.0,-0.35043243112474765,0.0,0.0,-0.4578590375832042,0.0,-3.9275693535761262,0.0,-1.334297328021172,0.0
