YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202012,129956500000000.0,403043351937.578,0.0031013712429742105,1681270117791.6846,0.012937176038071851,4102455774303.8887,0.0315679152201228,4792575211703.901,0.03687830321456719,11167953544262.943,0.08593609049384174,0.0,0.0
202101,132155100000000.0,245420046110.91116,0.0018570607272130335,2429584697958.036,0.018384343078383172,4691525437282.583,0.03550014670097925,3310600238392.1147,0.025050870063978724,9836344108256.352,0.07443030279010308,0.0,0.0
202102,132405700000000.0,473758805633.94824,0.003578084671837755,2360720103226.276,0.017829444678184366,6355042909251.597,0.047996747188766016,4422120870934.962,0.033398266622471404,12630665977124.865,0.09539367245613191,9739053828.346268,7.355464174386955e-05
202103,134777200000000.0,217062429736.60352,0.0016105278172910812,1354031661645.9167,0.010046444514694747,5799807363422.692,0.04303255568020921,4631521723025.17,0.034364282111701165,8184405670466.281,0.06072544666654509,7509251703.33491,5.5716038790944686e-05
202104,134463000000000.0,409826938035.5137,0.003047878881443324,1808903593115.6226,0.013452798116326593,6871780355377.592,0.051105362481705684,5682104271046.117,0.04225775321870044,8369403704764.037,0.06224317250666754,8344231661.110563,6.20559682671855e-05
202105,138720700000000.0,766527388627.816,0.0055256885859703425,2361339625024.9663,0.017022258574423042,8425304901968.279,0.060735743850544865,4970402673106.736,0.03583028829227892,8162513381332.898,0.05884135086784379,8705639606.3007,6.275660089878943e-05
202106,141832200000000.0,344242162273.3234,0.0024271086697754346,2055461324904.1484,0.014492205048671237,6517910413646.92,0.04595508222848493,5910948540099.074,0.04167564586954919,7001587091504.087,0.04936528582017403,7653567572.441777,5.396212970285857e-05
202107,142664200000000.0,733522272062.4034,0.005141600149598872,1931684175872.9124,0.013540076458375069,5850725705512.123,0.041010468677580805,7360275905944.162,0.05159161097138709,8124174595092.8,0.056946133613708275,8456944097.597434,5.9278670455499235e-05
202108,141947500000000.0,998661124865.022,0.007035425948784036,4068157455684.295,0.028659592142759083,6846701520909.075,0.048234040901805775,7752925588551.504,0.05461826089611655,10450447327176.627,0.07362191885856832,11818474850.471708,8.325947868382119e-05
202109,149643300000000.0,615681306980.329,0.004114325913557967,2525202729941.1816,0.016874813171997554,5045804230347.874,0.03371887836173002,6482437669477.0205,0.04331926434044839,8615631665250.109,0.05757445649253999,9399103461.480259,6.281005204696943e-05
