YYYYMM,cp_rollover_ultra,cp_rollover_short,cp_rollover_main,cp_rollover_mid,cp_rollover_long,cp_rollover_ultra_long,abcp_rollover_ultra,abcp_rollover_short,abcp_rollover_main,abcp_rollover_mid,abcp_rollover_long,abcp_rollover_ultra_long,abstb_rollover_ultra,abstb_rollover_short,abstb_rollover_main,abstb_rollover_mid,abstb_rollover_long,abstb_rollover_ultra_long
201806,0.02564856376281264,0.07883766867711456,0.08260579100770063,0.014993327088508378,0.0382551495011704,0.008114128968173755,0.005615726405727943,0.015988780726555626,0.05025920281970238,0.03691436422495584,0.04563733086395848,0.0,0.028463632259275996,0.2022654086288053,0.00829286427111766,0.33312268070658285,0.023520009747387775,0.0
201807,0.04467601366156423,0.0871848240466293,0.14023974429544428,0.021734879632691818,0.04054028430323091,0.008109273251633912,0.006844918740624264,0.016020935671391397,0.05507384525876608,0.0451105950823174,0.0571087779997615,0.0,0.04983808280896861,0.36419284172264155,0.05417051423061029,0.44081433378213936,0.008822240675587956,0.0
201808,0.0494873955015416,0.08544468602237737,0.09944836369639164,0.022351109605461827,0.031235447445828925,0.004089081488405619,0.003661563740186295,0.016363368186662678,0.039054388339710346,0.05780198177923581,0.06326035157591996,0.0,0.09045734555756844,0.2407159789308358,0.03435801252202915,0.587953759370768,0.00899880628305843,0.0
201809,0.01980073969028827,0.08542740636038532,0.07802613131340574,0.013222673504172324,0.021831194802072032,0.0012357638788946092,0.0034677992584674568,0.017053775748366407,0.02097161452240266,0.04290488487116837,0.05049965461074938,0.0,0.04089565225223121,0.22017041253139621,0.019753644098764272,0.3472487762731514,0.0059804778215134064,0.0
201810,0.021643847948609192,0.09823476755578632,0.12235849623689052,0.018667991069615187,0.019404082652117658,0.009545572660794263,0.0054238092940121505,0.0375518406083321,0.03944574752074858,0.052521086863188904,0.10082842741402066,0.0,0.1240835858970061,0.347266301154311,0.022298483356528034,0.43854459699311177,0.0031057206207333234,0.0
201811,0.026825431185912324,0.10640859060128215,0.09450929571989762,0.028454664896164574,0.04332191323526161,0.0,0.00439589554376168,0.01783197032716233,0.03851739759168564,0.034683532885371945,0.08539346024852523,0.0,0.07614916095275237,0.20885155747208883,0.0076901460880173635,0.6931214374149153,0.0018751081517395932,0.0
201812,0.014556188456460417,0.0934812553379765,0.09342075093436288,0.022171936291953666,0.038569605548718515,0.0,0.005410707610837974,0.017285118322563013,0.046780770232255006,0.03196121172373066,0.10228261836009002,0.0,0.05307505108218882,0.2757155909415173,0.006255483958846432,0.36911165246284156,5.2083241149926494e-05,0.0
201901,0.020204286999053613,0.08891270134857503,0.13789920110880494,0.028726858550219957,0.031615162200476075,0.0019769361055825443,0.0014376057851933337,0.00634439033898083,0.02583526253222929,0.023592650390160307,0.049746312388392375,0.0,0.05118250987923482,0.42871449767526154,0.0031913579565788497,0.5302513679860633,8.381412403172273e-05,0.0
201902,0.026069844015859826,0.07943285924633295,0.0969486805012121,0.020833632899983252,0.04558747341415374,0.007414104234869475,0.0013628455238055182,0.010183224428487079,0.02812896572423392,0.029336100091178922,0.05378431679192872,0.0,0.059891030674014134,0.2969930222981742,0.0038630235210763836,0.5698825042314344,7.801545873183727e-05,0.0
201903,0.026255660479911073,0.0754960198401163,0.08866962918039578,0.01919131695933328,0.02946827616735046,0.005385776508699708,0.002749593987467685,0.014076079840725125,0.02995666240614157,0.028572787629300923,0.049220369576610724,0.0,0.053290649764905926,0.415285177152879,0.002029363179391043,0.458198953133725,8.929197989320749e-05,0.0
201904,0.036913785883509874,0.08679017677807509,0.14356728147058775,0.022683626744252467,0.03948617514368479,0.002423265245092299,0.0037376742772360565,0.016180725919442845,0.044580949524787084,0.03946917822669209,0.059005396671369024,0.0,0.045859471193718464,0.36522094819523176,0.024707195460296594,0.6244071837526235,2.8867817816067037e-05,0.0
201905,0.03191007481566511,0.09675698508067387,0.10092842375269198,0.023629804827340988,0.026942628335307348,0.0008943907958872409,0.0032314282719523844,0.018008578043247975,0.05310959026979382,0.04225502418941861,0.06675534358113135,0.0,0.07459985537800488,0.2813758403976794,0.007420790243792549,0.5439236982155483,1.6046108354748373e-05,0.0
201906,0.03479279331149205,0.09737971737413932,0.08120329549279279,0.009582347318919623,0.03644308646086153,0.0,0.005124627570394878,0.018041401544313683,0.05292600902020606,0.03686624495686389,0.05468292090348062,0.0,0.06918056904426777,0.3229086855566002,7.011456978121758e-05,0.3843471339187009,0.00012065169475334527,0.0
201907,0.04164124178807522,0.13590102593380537,0.11780195762805984,0.024324805749864477,0.017500475455041953,0.0020448824092358245,0.004965742470840423,0.016153630255172618,0.04804487597048686,0.056796242867947044,0.07968152707116001,0.0,0.05132605799668704,0.39948555599482155,0.02239571669005827,0.47782346676156656,0.00017713318921849105,0.0
201908,0.03589326583692536,0.10801247510239756,0.10642847611501835,0.016707597911031827,0.02190908766457605,0.00189021358875797,0.00433450848141711,0.027103291289833555,0.03988896226619304,0.047573012770208714,0.08039641019848616,0.0,0.06097891637178737,0.3657679186818747,0.011805055457409777,0.5860405977074735,0.00020238131640019317,0.0
