YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
202108,70915689438600.0,574999999999.999,0.00810821983896587,3648799999999.999,0.051452647910293414,5659499999999.999,0.07980603509326507,1459499999999.9998,0.02058077713907949,1364999999999.9988,0.0192482088351103,859999999999.9989,0.012127076628714178
202109,71247189438600.0,553999999999.9987,0.007775745322240808,3484499999999.9995,0.048907192374274655,4782500000000.0,0.06712545488017464,1133199999999.9993,0.01590518880715397,2811600000000.0,0.03946260929244099,2299999999999.999,0.032281975164537714
202110,73378389438600.0,241899999999.9994,0.003296610921154263,3394899999999.9985,0.04626566521796871,7408600000000.0,0.10096433100646356,1744299999999.999,0.02377130396762874,2701699999999.9995,0.03681874214833606,3189999999999.9995,0.04347328994825186
202111,76169629226000.0,200999999999.99857,0.002638847031848076,2954999999999.9985,0.03879498994582645,6666600000000.0,0.08752307274884831,1177999999999.9993,0.015465481609537582,3997099999999.9985,0.05247629587562197,2210000000000.0,0.029014188758130794
202112,80069329226000.0,344999999999.9996,0.004308765957389483,2499000000000.0,0.031210452543525596,5400999999999.999,0.06745404329234962,1715799999999.9988,0.021428929361417038,6647699999999.999,0.08302429986938578,949999999999.9988,0.011864717853681183
202201,82003129226000.0,1166999999999.9995,0.014231164237449481,4015000000000.0,0.04896154619825166,7444600000000.0,0.0907843404302626,1619399999999.9988,0.019748026877571278,1415799999999.9995,0.017265194796384727,309999999999.9999,0.0037803435420816957
202202,84085027638600.0,368999999999.99854,0.004388415040855688,2642999999999.9995,0.031432468707267285,8028599999999.999,0.09548192140112227,2530000000000.0,0.030088590930528285,1014999999999.9994,0.012071114543275174,2289999999999.999,0.02723433724541887
202203,87713227638600.0,134999999999.99896,0.0015391065137430817,3561999999999.9985,0.04060961038483627,6239000000000.0,0.0711295225129123,3440700000000.0,0.03922669468026564,3090199999999.999,0.035230718139028935,2169999999999.9998,0.024739712109796388
202204,91622527638600.0,934999999999.9995,0.010204913836126147,4610000000000.0,0.05031513666795889,8036400000000.0,0.08771205299748044,2120900000000.0,0.02314823717116573,2831699999999.9995,0.030906154555891362,2979999999999.998,0.03252475211941809
202205,97446805088400.0,1359999999999.9985,0.013956332367862227,4543000000000.0,0.0466203073141163,8295200000000.0,0.08512541783668447,2030999999999.9993,0.020842140469947208,1815939463985.9983,0.0186351872936075,2299999999999.999,0.023602620916237604
202206,100073544552386.0,569999999999.9984,0.005695811041264934,3635099999999.999,0.03632428546684598,5532300000000.0,0.05528234284840365,4369899999999.9985,0.04366688538460297,3194499999999.9995,0.03192152345845768,2469999999999.999,0.024681847845481438
202207,104386244552386.0,443999999999.99994,0.004253433983604799,3825000000000.0,0.036642758980379185,8192600000000.0,0.07848352084252405,4581300000000.0,0.04388796646191141,4679099999999.998,0.04482487151505678,789999999999.9993,0.007568046952810335
