YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
202102,21080701469003.5,2323190510000,0.11020461123724735,10930151168007,0.5184908663536838,501000000,2.3765812572065356e-05,20716465900000,0.9827218477744176,300000000,1.4231025492254705e-05,0,0.0
202103,20769465539003.5,2235799290000,0.10764837861625935,14156179740864,0.6815861349094302,773100000000,0.037222912575587276,19954843907143,0.9607779203402851,300000000,1.4444281170192968e-05,0,0.0
202104,22441826469003.5,2804124290000,0.1249508053131521,14852645840864,0.6618287447048204,313177340000,0.013955073595839378,18430272477143,0.8212465461578525,300000000,1.3367895898061504e-05,0,0.0
202105,22132228644003.5,2542071780000,0.11485837332015582,12933820128007,0.584388510350551,757496800000,0.03422596125244874,18546628100000,0.8379918894894038,400000000,1.807319120157273e-05,0,0.0
202106,21139852974003.5,2010587000000,0.09510884500816998,13411328870864,0.634409751447015,1063768000000,0.05032050134445859,19135629503745,0.9051921755216003,0,0.0,0,0.0
202107,21544185257304.5,2694504241737,0.1250687463719908,14400079912735,0.6683975161164515,57800000000,0.0026828584747897607,18848221600137,0.8748635130561069,0,0.0,0,0.0
202108,21836289347304.5,2820556160000,0.12916829023188287,13757294724978,0.6300198035558737,1014855320000,0.04647563071998197,17808424580000,0.815542617921863,0,0.0,0,0.0
202109,21391606122489.0,2518814010000,0.11774777431751468,14948772859127,0.698814889051802,407591450000,0.01905380305088448,17154583020000,0.8019305760293232,0,0.0,0,0.0
202110,21210858124563.5,3301917780000,0.15567110772270795,14773683487659,0.6965151245130508,45130000000,0.0021276838369748293,17598378148393,0.8296872311833993,0,0.0,0,0.0
202111,21405570418026.0,2597911868393,0.12136615925942593,11477150704448,0.5361758869449652,45130000000,0.002108329706644736,24461080500000,1.142743688783033,0,0.0,0,0.0
202112,23066650316420.5,3028533868393,0.13129491394929899,16956799537795,0.7351218883187357,130000000,5.635842145118776e-06,21378812987686,0.9268278096047186,0,0.0,0,0.0
202201,24462833626108.0,2971384428342,0.12146525924824936,18693801693102,0.7641715583247481,0,0.0,18325173697737,0.7491026582537612,0,0.0,0,0.0
202202,23672151643761.5,2478357788393,0.10469507908235035,16440720714695,0.6945173789906735,357750000000,0.015112694671093852,23601285450000,0.9970063475923966,14950000000,0.0006315437745153126,0,0.0
202203,25458716936544.0,3828733380000,0.15038987980200025,20039852032846,0.7871509032758975,926482650000,0.036391568841008894,21798052306065,0.8562117392010278,85700000000,0.003366234057026823,0,0.0
202204,27435295369455.5,3596281552399,0.131082297601317,20370840602998,0.7425048766078691,24450000000,0.0008911877809495314,21608715554099,0.787624673367162,61890000000,0.0022558532418391203,0,0.0
202205,27054267359748.0,3031398400000,0.11204880766833067,19798230301225,0.7317969486278268,1025285540000,0.03789736851368021,24981187039034,0.923373259635987,61890000000,0.002287624321037111,0,0.0
202206,28532376835129.5,3927047410000,0.13763478004976293,24392965159052,0.854922297571053,1011766156229,0.03546028296469497,21390464109000,0.7496909294518966,61700000000,0.002162455667697267,0,0.0
202207,29753474152140.5,3855222950000,0.12957219483972934,22739345666411,0.7642585047425496,190000000,6.3858088984318214e-06,22301039824263,0.74952725554769,61700000000,0.002073707415964439,0,0.0
202208,28274885415337.0,3832316000000,0.13553780833082552,18090809984251,0.6398190379381024,1499655550000,0.053038430676948016,26559730509034,0.939339987373648,37200000000,0.0013156551990771922,0,0.0
202209,29042352721642.5,4503503340000,0.155066753136841,21474743880935,0.7394285196781567,415270872000,0.014298802716852143,25565798375774,0.8802936394585638,0,0.0,0,0.0
202210,30299145305354.5,4166981400000,0.13752801796899553,22994903080000,0.7589291000870679,660050000000,0.021784442872827676,19616093470712,0.6474140862067624,0,0.0,0,0.0
202211,27947107501356.0,4107402880000,0.14697059006198435,16535771353029,0.5916809584758165,37000000000,0.0013239294978274496,23848856967683,0.8533568980806278,0,0.0,0,0.0
202212,26261654836356.0,3424693619034,0.13040661909442725,19454439328649,0.7407925909420127,0,0.0,21378305312809,0.8140501977511863,0,0.0,0,0.0
202301,25663594104459.5,3005022160000,0.11709280265922786,20751804028492,0.8086086439812423,0,0.0,20859373240000,0.8128001539883815,0,0.0,0,0.0
202302,25869709688459.5,2918376500000,0.11281056243556882,18419688194603,0.7120175841331547,177950000000,0.006878701081032373,22673338164185,0.8764434714278837,5000000000,0.00019327623155471685,0,0.0
202303,25761848308704.5,4455222270000,0.1729387665284348,16451995574761,0.6386186028896903,587300000000,0.0227972773134279,23137333585151,0.8981239741767006,5000000000,0.00019408545303446195,0,0.0
202304,25944736214956.0,2931692857950,0.11299759741862428,19848035771928,0.7650120474335939,0,0.0,20893212369034,0.8052967737243742,5000000000,0.00019271731878768225,0,0.0
202305,25427630999456.0,2252392980000,0.08858052801097309,18852815735284,0.7414302864347583,916510000000,0.036043861106038855,22195819249034,0.8729015789755978,36800000000,0.0014472445349229467,0,0.0
202306,25241156982159.0,4144967510000,0.16421464011850778,14704085227811,0.5825440267339634,233860000000,0.00926502696232575,25201485245507,0.9984282916714142,49900000000,0.0019769299812710805,0,0.0
202307,25116711991659.0,2637234980000,0.10499921251140669,17891979234499,0.7123535612639401,658550000000,0.026219594356884677,22148530025034,0.8818244216197286,65900000000,0.0026237510714732367,0,0.0
202308,24621360119766.5,4179052640000,0.16973281003452675,15246120526499,0.6192233269135738,1055930000000,0.04288674528391627,22615147633182,0.9185173980305875,60900000000,0.0024734620550514717,0,0.0
202309,24709518643988.5,3957588536000,0.1601645338794501,16051293039681,0.6495995843118566,7100000000,0.00028733866095474655,22499005130000,0.9105400009673483,60900000000,0.002464637246780854,0,0.0
202310,24071364096988.5,3576596354667,0.14858303585356253,19681720679507,0.8176404378333226,673190000000,0.027966425055413493,19360344437372,0.8042894602634554,66400000000,0.0027584643617395623,0,0.0
202311,24617589439786.0,4697109490000,0.19080298261895262,13460603699507,0.5467880489448935,1526880000000,0.06202394445381055,22992869869360,0.9340016789864815,21500000000,0.0008733592723442097,0,0.0
202312,24219095233446.5,2551686000000,0.10535843620104061,16987833262256,0.7014231166982593,44900000000,0.0018539090567674563,23934912860419,0.9882661854091459,21500000000,0.0008877292810801851,0,0.0
202401,24642418778727.5,3146458000000,0.12768462496531272,17383871638919,0.7054450212462738,60900000000,0.00247134830987337,21261862040431,0.8628155470998343,5500000000,0.00022319237609693817,0,0.0
202402,23895491557065.0,4612938000000,0.19304637399836738,14356269529938,0.6007940659288672,271300000000,0.011353606154203041,21848005179034,0.9143149504524156,5500000000,0.00023016894157064773,0,0.0
202403,23597826854486.0,2936312510000,0.12443147956405148,15730235457034,0.6665967825780384,27000000000,0.001144173154862658,21345301241569,0.904545209742956,15500000000,0.0006568401444581926,0,0.0
202404,23379545104301.5,2373712000000,0.10152943478627696,15288612360000,0.653931130472984,575650000000,0.02462195040287968,20864819426603,0.8924390672923818,17500000000,0.0007485175576311898,0,0.0
202405,22826282393301.5,3947684860000,0.1729447131153722,12975542711569,0.5684474803210506,1379100000000,0.060417196994141484,20729537019614,0.9081433701046824,47600000000,0.0020853154788783514,0,0.0
202406,22539417795591.5,3665103690000,0.16260862295728243,14552330662947,0.6456391551423879,5500000000,0.0002440169506541446,22437579439170,0.9954817663284355,52600000000,0.0023336893826196377,0,0.0
