YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201904,106847300000000.0,2464589000000,0.023066460266192967,10669426000000,0.09985676755519325,29396279520000,0.2751242148374362,26025623230197,0.24357773411398323,38907631000000,0.36414238824939893,0,0.0
201905,107506200000000.0,1944185457197,0.018084403106025514,10834842240000,0.10078341751452474,31953329720000,0.29722313429365005,25422691333000,0.2364765132894661,40163283000000,0.37359038827528085,0,0.0
201906,110318500000000.0,3483680000000,0.03157838440515417,12264397533000,0.11117262773696161,35978669000000,0.3261345014662092,25061372454317,0.22717288989894713,37173003360000,0.3369607396764822,0,0.0
201907,113961300000000.0,2802764000000,0.02459399813796438,9117430800000,0.08000462262189006,27117485360000,0.23795345753339073,32056931220317,0.28129664386346065,44973841646338,0.3946413532167323,0,0.0
201908,116068700000000.0,2672969434317,0.02302920110518167,16713837220000,0.1439995211456663,24598400801675,0.21192966580719005,29336938566000,0.2527549508696143,49578204313285,0.4271453399002918,0,0.0
201909,122900600000000.0,2043268000000,0.016625370421299815,13065773566000,0.10631171504451566,20765566801675,0.16896228986412598,32073700846082,0.2609726953821381,55331730262932,0.4502152980777311,0,0.0
201910,123280200000000.0,2962676000000,0.02403205056448643,12796935000000,0.10380365216798805,22198120795337,0.18006233600640653,27396603701420,0.22223036384934483,61960002495308,0.5025949219364343,0,0.0
201911,127314500000000.0,5722461846082,0.04494744782473324,13167865000000,0.10342784993068346,23019666400000,0.18080946317976349,22907528650675,0.17992866995255843,71206090095308,0.5592928542727498,40000000000,0.00031418259506968963
201912,136063800000000.0,1361420000000,0.010005747303838346,9296181855338,0.0683222271856144,27063612400000,0.19890384069826067,26444467729654,0.1943534410302667,66876070095308,0.4915052357446139,40000000000,0.00029397973597679913
202001,131081800000000.0,2741940000000,0.020917778059196625,10498491795337,0.08009114762947259,30415553880000,0.23203491163533,26967271066317,0.20572856846882634,59204860095308,0.4516634658305577,0,0.0
202002,129828100000000.0,2870173434317,0.022107490091259133,11642889500000,0.08967927205281445,36117911313285,0.2781979503149549,27022632012000,0.20814162736726488,51210450782023,0.3944481262686814,0,0.0
202003,128864000000000.0,3647610000000,0.02830588837844549,9909642132000,0.07690000412838341,36616424627518,0.28414781962004904,30428026581072,0.2361251131508567,43728258232376,0.3393364960918177,0,0.0
202004,124330000000000.0,3178801000000,0.025567449529478002,11524512880000,0.0926929371833025,38878075095308,0.31270067638790316,31159451130271,0.25061892648814443,34157875000000,0.27473558272339743,0,0.0
202005,118898800000000.0,3437251411764,0.02890905048464745,15157201357105,0.12747985141233553,41940732242023,0.3527431079373635,33499829674687,0.2817507802827867,23167714000000,0.1948523786615172,0,0.0
202006,117202800000000.0,3021858764586,0.025783161874852818,12596070596816,0.10747243749139099,38484842092376,0.32836111502776383,36929020374696,0.3150865028369288,22090662000000,0.18848237414123212,0,0.0
202007,113122500000000.0,6403800000000,0.056609427832659286,11631110313285,0.10281871699516011,31357933000000,0.2772033238303609,36744220851787,0.32481797035768306,25957010000000,0.2294593029680214,0,0.0
202008,112094100000000.0,4342929411764,0.038743603916388106,15068526649647,0.13442747343211642,25825722000000,0.23039323211480353,36275321790376,0.32361490738920246,31177726000000,0.27813886725527925,0,0.0
202009,112690200000000.0,2559528000000,0.02271295995570156,15164972790376,0.13457224133399356,22177442720000,0.19680010080734617,34503827411764,0.30618303465398056,45607325000000,0.404714207624088,0,0.0
202010,120013100000000.0,6312256000000,0.05259639156058797,15208379000000,0.12672265777652605,20506214720000,0.17086646974371963,25769879392764,0.2147255540667144,59183187000000,0.49313939061652434,0,0.0
202011,126979900000000.0,4221599411764,0.03324620205059226,10402752000000,0.08192439905843366,20470347000000,0.1612093488812009,26509450701000,0.2087688736642571,68352352000000,0.5382926904179323,0,0.0
202012,129956500000000.0,2405000000000,0.018506192456706667,10032306981000,0.07719742360713008,24479764000000,0.18836890805769624,28597775720000,0.22005652445241292,66640296000000,0.5127892487101453,0,0.0
202101,132155100000000.0,1584082000000,0.011986537031109658,15681935720000,0.11866311417417867,30281801000000,0.2291383457770453,21368516264000,0.16169271003540536,63489417000000,0.48041594308505686,0,0.0
202102,132405700000000.0,2432263000000,0.01836977562144228,12119863720000,0.0915358154520538,32626593000000,0.24641380997947973,22703031264000,0.17146566397065988,64845447000000,0.4897481528363205,50000000000,0.00037762724716534105
202103,134777200000000.0,1445300000000,0.010723623877035581,9015756264000,0.06689377924456065,38617745100000,0.28653025214947336,30838770000000,0.22881295946198615,54495481000000,0.4043375363191994,50000000000,0.0003709826291093746
202104,134463000000000.0,2455750000000,0.018263388441429985,10839246000000,0.0806113652082729,41176831100000,0.3062316852963269,34048097547000,0.25321536442738896,50150835000000,0.37297126347024834,50000000000,0.00037184950506830873
202105,138720700000000.0,4402476000000,0.03173625853964116,13562126000000,0.09776569754910407,48389924709667,0.3488298769373785,28547027547000,0.20578779913163645,46880607000000,0.33794961386440525,50000000000,0.00036043647415274
202106,141832200000000.0,2248900000000,0.015856060894493634,13428125547000,0.09467614227939777,42580864100000,0.3002200071633945,38615642209667,0.27226287267395555,45740676000000,0.3224985299530008,50000000000,0.0003525292564029889
202107,142664200000000.0,4336804545455,0.03039868828658486,11420698502794,0.08005300911366692,34591252100000,0.2424662396032081,43516167430000,0.305025138962683,48032566500000,0.3366826891399524,50000000000,0.0003504733493055721
202108,141947500000000.0,4960150000000,0.03494355307419997,20205724145455,0.14234646010289015,34006196600000,0.2395688307296712,38507230231127,0.2712779741180859,51905281000000,0.3656653410591944,58700000000,0.00041353317247573926
202109,149643300000000.0,3845100000000,0.025695102954826576,15770589275349,0.10538787420050881,31512442600000,0.21058371874985382,40484615661236,0.270540783725272,53807002000000,0.3595684003226339,58700000000,0.0003922661422195314
202110,145478500000000.0,4691659000000,0.03224984447873741,18609280112012,0.12791773431821196,40263289100000,0.27676453290348746,31810720264351,0.2186626908055211,55846032000000,0.38387825005069476,58200000000,0.0004000591152644549
202111,151279100000000.0,4735600000000,0.03130372933207561,15014177245349,0.09924819254840225,37498848080000,0.24787857727868556,32602574164351,0.2155127454113027,59699008000000,0.39462825995130857,58200000000,0.00038471936969482234
202112,149608400000000.0,2486300000000,0.01661871926977362,11247884564351,0.07518217268783704,36834111080000,0.24620349579301698,43919367992486,0.29356217961348424,62072481000000,0.41489970482940797,108200000000,0.0007232214233960125
202201,156668400000000.0,6268097445349,0.04000868998055128,16052316400000,0.10246046043745899,38308234580000,0.24451794095044055,37478697880344,0.23922308442764462,58154579460000,0.37119533651968106,107600000000,0.0006868009119899099
202202,156369500000000.0,4529550000000,0.02896696606435398,19677275216261,0.12583832023675334,40673357600000,0.2601105560867049,29848042912762,0.19088148847928785,52720504460000,0.3371533736438372,57600000000,0.0003683582795877713
202203,147506300000000.0,3679254000000,0.02494302955195812,12739496841857,0.08636578127074572,34345037500000,0.2328377669292769,37200636429964,0.2521969328087275,46748405460000,0.31692480565236875,67600000000,0.0004582855105171779
202204,134780400000000.0,1440574980000,0.010688312098791812,14318277477365,0.10623412215251624,34857583000000,0.25862501520992665,39874490398124,0.29584784136361075,42656613554270,0.31648973852481516,67000000000,0.0004971049202999843
202205,133214500000000.0,3705032000000,0.027812527915504693,20298376707348,0.15237362830133355,41558430980000,0.31196627229017865,32199376681373,0.24171074981607107,36540405554270,0.2742975093121995,77800000000,0.0005840205082780028
202206,134379500000000.0,4229050000000,0.03147094608924724,13518754757605,0.10060131759386662,42890878074270,0.319177241128818,36066428542353,0.268392340664707,28258596460000,0.2102894895426758,117800000000,0.0008766218061534684
202207,125081500000000.0,2786911000000,0.0222807609438646,15871344948502,0.12688802859337311,39196664534270,0.3133689996863645,37360210074997,0.29868693671723634,32673144850000,0.2612148467199386,107300000000,0.0008578406878715078
202208,127995600000000.0,2504786000000,0.01956931332014538,20990858517754,0.1639967195571879,31347524554270,0.24491095439429167,34724664475230,0.2712957670047252,33113538850000,0.25870841536740324,96500000000,0.0007539321664182206
202209,122777800000000.0,2335429714290,0.019021596040082165,13543974504699,0.11031289455177565,27576425000000,0.22460432586347043,48134476975417,0.3920454428684746,33703245850000,0.27450602511203165,135500000000,0.0011036197097520888
202210,125429100000000.0,4786153000000,0.038158234412907374,17167603934433,0.1368709807726676,32483218783997,0.2589767349362867,36483521559603,0.29086967505629074,30542864850000,0.24350700794313282,135000000000,0.0010763052593058548
202211,121598400000000.0,4714115000000,0.03876790319609469,24907437134338,0.20483359266518308,30327308000000,0.2494054855984947,22379785992321,0.18404671436730252,29967435850000,0.24644597173975974,135000000000,0.0011102119764733747
202212,112431100000000.0,2328758000000,0.020712756523773225,9053710670351,0.08052674633932248,25151552850000,0.22370636638794783,33915937766573,0.3016597522088906,28324603000000,0.25192854112429747,6000000000,5.3366017054000184e-05
202301,98780500000000.0,2522499554745,0.0255364120929232,12661727648937,0.12818043691757988,20439151850000,0.20691484503520433,35760653378109,0.3620213845658708,26439829000000,0.2676624333750082,5500000000,5.567900547172772e-05
202302,97829400000000.0,4717081000000,0.048217417259024384,18016719518815,0.18416467359316321,18005415850000,0.18404912889172376,28538797475452,0.291720050163366,26063824000000,0.2664211780916575,5500000000,5.622031822744492e-05
