YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_d
201806,0.0,0.2358297267420183,0.0487936023350978,0.1040474776193626,0.6113291933035211,0.6113291933035211,0.0331015798241303,0.1310649831683297,0.0716631637495582,0.0275683853193302,0.0705165140946834,0.0059625782053489,0.0,0.0487936023350978,0.0,0.0,0.0
201807,0.0,0.1899380112719493,0.0108242700442387,0.0677488286615047,0.7314888900223071,0.7314888900223071,0.0336176848489338,0.1195025432763874,0.036817783146628,0.0279280044410647,0.0358172320310003,0.0040035921894395,0.0,0.0108242700442387,0.0,0.0,0.0
201808,0.0004172021748939,0.1520664000017826,0.00884974310381,0.0488834524074169,0.7897832023120965,0.7897832023120965,0.0281421830701158,0.0973661378771327,0.0265580790545339,0.009608292512708,0.0324153447402413,0.0068598151544676,0.0,0.00884974310381,0.0,0.0004172021748939,0.0
201809,0.0040789381357655,0.1425539135302054,0.0497431479971405,0.061790938442048,0.7418330618948404,0.7418330618948404,0.027746727952805,0.0697975955436677,0.0450095900337326,0.0334273954540784,0.0134505472184268,0.0149129957695427,0.0258664369585131,0.0238767110386274,0.0,0.0040789381357655,0.0
201810,0.0,0.1772239531889051,0.0117451959901268,0.0700704574893329,0.7409603933316351,0.7409603933316351,0.025141628357689,0.113009512241473,0.039072812589743,0.0250103585201523,0.0367900992043677,0.0082699997648128,0.0117451959901268,0.0,0.0,0.0,0.0
201811,0.0,0.1321055820052329,0.0143376197910549,0.0763883447476464,0.7771684534560657,0.7771684534560657,0.0408684501522417,0.0599281338527419,0.0313089980002492,0.0272227763597986,0.0408809176477122,0.0082846507401356,0.0130908702440066,0.0012467495470482,0.0,0.0,0.0
201812,0.0,0.1180485946559483,0.0318460831163463,0.0451815745588354,0.8049237476688699,0.8049237476688699,0.016928566214527,0.0560501788444029,0.0450698495970183,0.0141041591797907,0.0164101623916957,0.0146672529873489,0.0318460831163463,0.0,0.0,0.0,0.0
201901,0.0,0.1517587224758633,0.0132063632716711,0.0774832006885912,0.7575517135638743,0.7575517135638743,0.0315602734719002,0.0877489470717702,0.0324495019321927,0.0352404467036059,0.0315837514510499,0.0106590025339354,0.0132063632716711,0.0,0.0,0.0,0.0
201902,0.0,0.1433741048993869,0.010085005070627,0.0704437604183302,0.7760971296116557,0.7760971296116557,0.0549884901475942,0.060242147476574,0.0281434672752187,0.0226093207427121,0.0365896590218689,0.0112447806537492,0.010085005070627,0.0,0.0,0.0,0.0
201903,0.0,0.1740464071340723,0.0208471925312809,0.0414886138839681,0.7636177864506786,0.7636177864506786,0.0333542219801833,0.0994517827540996,0.0412404023997893,0.0170275650286341,0.0164809853354944,0.0079800635198394,0.0208471925312809,0.0,0.0,0.0,0.0
