YYYYMM,balance_total_amt,bal_share_top,bal_share_high_mid,bal_share_low,bal_share_distress,bal_amt_top,bal_amt_high_mid,bal_amt_low,bal_amt_distress
202005,20193517890000.0,0.7689062883733132,0.2138777910578314,0.0172159205688553,0.0,15526922890000.0,4318945000000.0,347649999999.9985,0.0
202006,20801044850000.0,0.7876914341637026,0.1982251386761468,0.0140834271601505,0.0,16384804850000.0,4123289999999.999,292949999999.99866,0.0
202007,20465611993000.0,0.7989595912691356,0.1861886662027659,0.0148517425280984,0.0,16351196993000.0,3810464999999.9995,303949999999.9987,0.0
202008,20512810042000.0,0.7964759586106442,0.1891939715745357,0.0143300698148199,0.0,16337960042000.0,3880899999999.9985,293949999999.9987,0.0
202009,19763338697000.0,0.8069255879028565,0.1810319124138218,0.0120424996833215,0.0,15947543697000.0,3577794999999.999,237999999999.99805,0.0
202010,20782759535571.5,0.7904401519660735,0.1973381794164718,0.0122216686174546,0.0,16427527605571.5,4101231929999.999,253999999999.9995,0.0
202011,20573105599374.0,0.7764517414356761,0.2112020428326685,0.0123462157316554,0.0,15974023669374.0,4345081929999.9995,253999999999.99908,0.0
202012,21299161784126.5,0.768389932430277,0.2220087507633308,0.0096013168063921,0.0,16366061484126.498,4728600300000.0,204499999999.9981,0.0
202101,21080701469003.5,0.7851067571607644,0.2051212720012207,0.0097719708380148,0.0,16550601169003.5,4324100300000.0,205999999999.99796,0.0
202102,20769465539003.5,0.7754877085670194,0.2144735160196964,0.0100387754132841,0.0,16106465239003.5,4454500299999.999,208499999999.99973,0.0
202103,22441826469003.5,0.7673547201155312,0.2235105510207934,0.0091347288636753,0.0,17220841469003.5,5015984999999.998,204999999999.9986,0.0
202104,22132228644003.5,0.7703668969922288,0.2202576350719553,0.0093754679358158,0.0,17049936304003.5,4874792339999.999,207499999999.9988,0.0
202105,21139852974003.5,0.7793783549140388,0.2106878011629099,0.0099338439230511,0.0,16475943834003.5,4453909139999.999,209999999999.9984,0.0
202106,21544185257304.5,0.7844852799205172,0.2059993915789309,0.0095153285005519,0.0,16901096202236.0,4438089055068.5,204999999999.99957,0.0
202107,21836289347304.5,0.7836660899690987,0.2069458681003566,0.0093880419305446,0.0,17112359492236.0,4518929855068.499,204999999999.99902,0.0
202108,21391606122489.0,0.7876207448354099,0.2027960570248074,0.0095831981397826,0.0,16848472747420.5,4338133375068.4985,204999999999.99866,0.0
202109,21210858124563.5,0.7843795435742599,0.206662780178782,0.008957676246958,0.0,16637363214563.5,4383494909999.999,189999999999.9986,0.0
202110,21405570418026.0,0.7686325884672818,0.2222576332744482,0.0091097782582699,0.0,16453018998026.0,4757551419999.999,194999999999.99857,0.0
