YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b+,issue_detail_c,issue_detail_d
201612,0.0,0.0315048452949663,0.0,0.0022053391706476,0.966289815534386,0.966289815534386,9.546922816656467e-06,0.0298245868792348,0.0016707114929148,0.0022053391706476,0.0,0.0,0.0,0.0,0.0
201701,0.0,0.0159832906177336,0.0,0.0059535326774524,0.978063176704814,0.978063176704814,0.0,0.0069258432906042,0.0090574473271293,0.0010471037372403,0.004906428940212,0.0,0.0,0.0,0.0
201702,0.0,0.023304422859748,0.0,7.537981258813559e-06,0.9766880391589932,0.9766880391589932,0.0022990842839381,0.0096456008187778,0.011359737757032,0.0,7.537981258813559e-06,0.0,0.0,0.0,0.0
201703,0.0,0.0776147947699697,0.0,9.063972295920796e-06,0.9223761412577344,0.9223761412577344,0.0120188272643909,0.0363465289066423,0.0292494385989364,0.0,9.063972295920796e-06,0.0,0.0,0.0,0.0
201704,0.0,0.0787755697689139,0.0,0.0029458694227515,0.9182785608083344,0.9182785608083344,0.0015711303588008,0.0328653278420313,0.0443391115680817,0.0013596320412699,0.0015862373814816,0.0,0.0,0.0,0.0
201705,0.0,0.0594697598080627,0.0,0.0010150406554776,0.9395151995364596,0.9395151995364596,0.0038742009751053,0.0210144409291666,0.0345811179037907,0.0010072922535274,7.748401950210784e-06,0.0,0.0,0.0,0.0
201706,0.0,0.0673288994269896,0.0,0.0011431629025528,0.9315279376704576,0.9315279376704576,0.0124559482599942,0.030283630317529,0.0245893208494662,0.0011375036802629,5.659222289865649e-06,0.0,0.0,0.0,0.0
201707,0.0,0.0787237918736326,0.0,0.0025503696009926,0.9187258385253748,0.9187258385253748,0.0141819617999126,0.0301396482285537,0.0344021818451661,0.0010328599630188,0.0015175096379738,0.0,0.0,0.0,0.0
201708,0.0,0.0717292310425829,0.0,0.0086587395065201,0.9196120294508968,0.9196120294508968,0.0328635274710741,0.0141552918138878,0.0247104117576208,0.0,0.0086587395065201,0.0,0.0,0.0,0.0
201709,0.0,0.122842336918143,0.0,0.005771588440848,0.8713860746410089,0.8713860746410089,0.0259730495127821,0.0495209861068075,0.0473483012985533,0.0020735166219853,0.0036980718188626,0.0,0.0,0.0,0.0
201710,0.0,0.091000550221847,0.0,0.0017867593440571,0.9072126904340958,0.9072126904340958,0.003242381821262,0.0628263218004973,0.0249318466000875,0.0,0.0017867593440571,0.0,0.0,0.0,0.0
201711,0.0,0.0087185630548478,0.0,0.0039983642853594,0.9872830726597926,0.9872830726597926,0.0,0.0017441561344621,0.0069744069203857,0.0039917114329711,6.652852388285303e-06,0.0,0.0,0.0,0.0
201712,0.0,0.0389731195353755,0.0,0.0009144821651532,0.9601123982994711,0.9601123982994711,0.0007104822975421,0.0277742302513443,0.0104884069864889,0.0009144821651532,0.0,0.0,0.0,0.0,0.0
201801,0.0,0.0182925785758248,0.0,0.0026509947857933,0.9790564266383818,0.9790564266383818,0.0028582154024726,0.0080030031269233,0.0074313600464288,0.0,0.0024366286306079,0.0002143661551854,0.0,0.0,0.0
