YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_other
201708,0.0141557131189899,0.152242260091839,0.0011939566094085,0.0323505386073089,0.8000575315724534,0.8000575315724534,0.0138584249306354,0.0940311898755063,0.0443526452856972,0.0217328530450682,0.0092673774920762,0.0013503080701644,0.0,0.0011939566094085,0.0,0.0141557131189899,0.0
201709,0.0,0.1435842610453901,0.0067012186146683,0.0293769028749389,0.8203376174650026,0.8203376174650026,0.0216918059203136,0.0667565327197651,0.0551359224053113,0.0226679371867277,0.0035326655355939,0.0031763001526173,0.0,0.0021304452243165,0.002246651327461,0.0,0.0023241220628907
201710,0.0,0.1411358866031994,0.0026860368294021,0.0287175709017793,0.8274605056656191,0.8274605056656191,0.035302198329285,0.0594304834482573,0.046403204825657,0.0191169078344019,0.0050727724120994,0.0045278906552778,0.0,0.0011511586411723,0.0,0.0,0.0015348781882297
201711,0.0,0.1140843529718574,0.0010508907883239,0.0284336017627521,0.8564311544770664,0.8564311544770664,0.0234698942725686,0.0558583483687133,0.0347561103305753,0.014351665199211,0.0123584756706898,0.0017234608928513,0.0,0.0010508907883239,0.0,0.0,0.0
201712,0.0,0.1148986750684335,0.0022382078396691,0.02103915369289,0.8618239633990072,0.8618239633990072,0.0166848220775336,0.0452687709245084,0.0529450820663914,0.0169127123303,0.0033532422907043,0.0007731990718857,0.0,0.0022382078396691,0.0,0.0,0.0
201801,0.0,0.1421891912301457,0.0066075968484909,0.0443715860749616,0.8068316258464017,0.8068316258464017,0.0239761371359528,0.0596382812696654,0.0585747728245274,0.0192375462531779,0.0205716515216351,0.0045623883001485,0.0,0.0009439424069272,0.0,0.0,0.0056636544415636
201802,0.0,0.1477257205299822,0.0050539543778172,0.0355142740062832,0.8117060510859172,0.8117060510859172,0.0127714793061057,0.0799344351864499,0.0550198060374265,0.0104220734872285,0.0177298183308291,0.0073623821882256,0.0,0.0010244502117197,0.0019806037426581,0.0,0.0020489004234394
201803,0.0,0.1401924222845627,0.0051888403109287,0.0337174191043057,0.8209013183002029,0.8209013183002029,0.0144618000923948,0.0687538079392604,0.0569768142529074,0.01537235787599,0.0099893545082653,0.0083557067200503,0.0,0.0018412014006521,0.0,0.0,0.0033476389102765
201804,0.0,0.1541451539469323,0.0071235880583886,0.0372780460307677,0.8014532119639113,0.8014532119639113,0.0175302210480346,0.092488950695479,0.0441259822034187,0.0108712148195409,0.0138197608332739,0.0125870703779528,0.0,0.0009291636597898,0.0,0.0,0.0061944243985988
201805,0.0,0.1109219551077041,0.0108245342990129,0.055398654477585,0.8228548561156979,0.8228548561156979,0.0039361942905501,0.0539127411329023,0.0530730196842516,0.01539379983796,0.0239517422579978,0.0160531123816271,0.0,0.0009840485726375,0.0,0.0,0.0098404857263754
201806,0.0,0.1113149164221003,0.0025918718897537,0.0415895750925098,0.8445036365956361,0.8445036365956361,0.0171861043766747,0.043766747479903,0.0503620645655225,0.0189246522904172,0.0155990812811024,0.0070658415209901,0.0005981242822508,0.0011962485645017,0.0,0.0,0.0007974990430011
201807,0.0,0.1610501080297155,0.0112469292923313,0.0276437683132565,0.8000591943646965,0.8000591943646965,0.0367301032941663,0.0621067274395477,0.0622132772960014,0.0083641637316127,0.0099328143960694,0.0093467901855743,0.0,0.0,0.0,0.0,0.0112469292923313
201808,0.0,0.1533576259644307,0.0,0.0293352781366973,0.817307095898872,0.817307095898872,0.0485700276115938,0.0539761282786727,0.0508114700741641,0.0060851278040066,0.0137960032723884,0.0094541470603021,0.0,0.0,0.0,0.0,0.0
201809,0.0,0.1487631957565567,0.0006500372688034,0.0280902771758914,0.8224964897987485,0.8224964897987485,0.0584686855379708,0.0396696077241761,0.0506249024944096,0.0086064934389571,0.0100019067759884,0.0094818769609457,0.0,0.0006500372688034,0.0,0.0,0.0
201810,0.0,0.1221481340648595,0.0,0.0288513770438372,0.8490004888913032,0.8490004888913032,0.033448313325004,0.052779890271063,0.0359199304687924,0.0080531261882774,0.0133222880112988,0.0074759628442609,0.0,0.0,0.0,0.0,0.0
201811,0.0,0.1314070615392686,0.0013115786160222,0.0260217197418813,0.8412596401028277,0.8412596401028277,0.0413147264047007,0.067749593410629,0.0223427417239389,0.0079350506269345,0.0138633859713551,0.0042232831435916,0.0,0.0,0.0,0.0,0.0013115786160222
201812,0.0,0.1193683215411584,0.0005582828707649,0.0170797339596026,0.8629936616284739,0.8629936616284739,0.027169766377228,0.0446551858895865,0.0475433692743439,0.0081137110551174,0.00578753242693,0.0031784904775551,0.0,0.0005582828707649,0.0,0.0,0.0
201901,0.0,0.1514081804926713,0.0052439055585398,0.0279909446704013,0.8153569692783874,0.8153569692783874,0.0547156779986186,0.0443429770035556,0.052349525490497,0.0061903665617885,0.0143631852249763,0.0074373928836364,0.0,0.0,0.0001279001355741,0.0,0.0051160054229657
201902,0.0,0.1084357579421049,0.0,0.0304587279199408,0.8611055141379542,0.8611055141379542,0.0417758076432265,0.0354624219222244,0.0311975283766539,0.0103364900261938,0.0113976761367452,0.0087245617570018,0.0,0.0,0.0,0.0,0.0
201903,0.0,0.1207650534061326,0.000455301508737,0.0256988327391159,0.8530808123460144,0.8530808123460144,0.0397287284236654,0.0385904746518228,0.0424458503306443,0.0117129984908958,0.0067120254675101,0.0072738087807099,0.0,0.000455301508737,0.0,0.0,0.0
201904,0.0,0.0964514932503062,0.0002529027616981,0.0295109422594894,0.8737846617285061,0.8737846617285061,0.0240538626681803,0.0499735857115559,0.0224240448705699,0.0151966459473737,0.0065192711904414,0.0077950251216743,0.0,0.0001686018411321,8.430092056605258e-05,0.0,0.0
201905,0.0,0.0944580770579049,0.0,0.0373306988750438,0.8682112240670512,0.8682112240670512,0.0215430702061888,0.0281717071927085,0.0447432996590076,0.0120207782274769,0.01773160393894,0.0075783167086267,0.0,0.0,0.0,0.0,0.0
201906,0.0,0.1664818389671554,0.0013690940704535,0.0271217535356854,0.8050273134267055,0.8050273134267055,0.0450431949179228,0.0457619693049109,0.0756766747443216,0.0147999069016032,0.0087622020509029,0.0035596445831793,0.0,0.0,0.0,0.0,0.0013690940704535
201907,0.0,0.1135223178295849,0.0006581003932149,0.0249365207329044,0.8608830610442957,0.8608830610442957,0.0535254986481521,0.0255562319365152,0.0344405872449175,0.0057419259308007,0.0117361236790005,0.0074584711231031,0.0,0.0001096833988691,0.0,0.0,0.0005484169943458
201908,0.0,0.1194699275797432,0.0,0.02600237049723,0.8545277019230267,0.8545277019230267,0.0378548566475738,0.0439181604106077,0.0376969105215616,0.0067420805029213,0.0154421708324413,0.0038181191618673,0.0,0.0,0.0,0.0,0.0
201909,0.0,0.1033757291766281,0.0,0.0184692869210417,0.8781549839023302,0.8781549839023302,0.0348729718529852,0.028465780497912,0.0400369768257307,0.0072997354244365,0.0088744381753849,0.0022951133212202,0.0,0.0,0.0,0.0,0.0
